node	r(thre.)	node_cc
25	0.130000	0.901178
26	0.130000	0.953180
27	0.130000	0.907650
28	0.130000	0.943434
29	0.130000	0.931818
30	0.130000	0.985882
31	0.130000	0.955556
32	0.130000	0.943320
33	0.130000	0.952657
34	0.130000	0.901178
35	0.130000	0.964983
36	0.130000	0.976778
37	0.130000	0.950501
38	0.130000	0.955603
39	0.130000	0.922351
40	0.130000	0.920904
41	0.130000	0.968553
42	0.130000	0.901178
43	0.130000	0.921960
44	0.130000	0.916940
45	0.130000	0.933454
46	0.130000	0.901178
47	0.130000	0.926848
48	0.130000	0.901178
49	0.130000	0.901178
50	0.130000	0.901178
51	0.130000	0.902697
52	0.130000	0.948148
53	0.130000	0.918579
54	0.130000	0.931785
55	0.130000	0.934664
56	0.130000	0.901178
57	0.130000	0.908514
58	0.130000	0.906399
59	0.130000	0.928502
60	0.130000	0.901178
61	0.130000	0.911950
62	0.130000	0.924605
63	0.130000	0.953180
64	0.130000	0.988899

1	0.140000	0.956259
2	0.140000	0.973878
3	0.140000	0.895383
4	0.140000	0.933333
5	0.140000	0.892350
6	0.140000	0.926531
7	0.140000	0.955975
8	0.140000	0.887890
9	0.140000	0.914935
10	0.140000	0.903955
11	0.140000	0.921053
12	0.140000	0.888948
13	0.140000	0.924390
14	0.140000	0.894536
15	0.140000	0.891257
16	0.140000	0.881208
17	0.140000	0.891592
18	0.140000	0.907268
19	0.140000	0.920750
20	0.140000	0.911111
21	0.140000	0.940067
22	0.140000	0.881208
23	0.140000	0.881208
24	0.140000	0.892090
25	0.140000	0.881208
26	0.140000	0.961633
27	0.140000	0.900181
28	0.140000	0.942697
29	0.140000	0.927324
30	0.140000	0.991304
31	0.140000	0.943434
32	0.140000	0.949206
33	0.140000	0.943434
34	0.140000	0.881208
35	0.140000	0.955505
36	0.140000	0.962990
37	0.140000	0.932331
38	0.140000	0.950058
39	0.140000	0.906386
40	0.140000	0.905085
41	0.140000	0.953180
42	0.140000	0.881208
43	0.140000	0.932127
44	0.140000	0.903955
45	0.140000	0.926065
46	0.140000	0.881208
47	0.140000	0.910256
48	0.140000	0.881208
49	0.140000	0.881208
50	0.140000	0.881208
51	0.140000	0.903955
52	0.140000	0.935010
53	0.140000	0.900000
54	0.140000	0.922323
55	0.140000	0.923559
56	0.140000	0.881208
57	0.140000	0.888948
58	0.140000	0.893785
59	0.140000	0.914729
60	0.140000	0.881208
61	0.140000	0.903369
62	0.140000	0.917120
63	0.140000	0.938914
64	0.140000	0.976873

1	0.150000	0.963435
2	0.150000	0.964082
3	0.150000	0.884085
4	0.150000	0.919662
5	0.150000	0.875706
6	0.150000	0.932470
7	0.150000	0.941999
8	0.150000	0.869381
9	0.150000	0.930612
10	0.150000	0.886441
11	0.150000	0.904135
12	0.150000	0.884153
13	0.150000	0.915873
14	0.150000	0.885876
15	0.150000	0.872678
16	0.150000	0.861751
17	0.150000	0.873612
18	0.150000	0.910438
19	0.150000	0.907441
20	0.150000	0.895178
21	0.150000	0.923906
22	0.150000	0.861751
23	0.150000	0.884153
24	0.150000	0.895947
25	0.150000	0.861751
26	0.150000	0.958333
27	0.150000	0.890985
28	0.150000	0.946667
29	0.150000	0.917271
30	0.150000	0.984541
31	0.150000	0.930233
32	0.150000	0.935484
33	0.150000	0.923232
34	0.150000	0.861751
35	0.150000	0.958367
36	0.150000	0.960784
37	0.150000	0.916040
38	0.150000	0.936585
39	0.150000	0.890980
40	0.150000	0.900181
41	0.150000	0.940601
42	0.150000	0.861751
43	0.150000	0.950046
44	0.150000	0.886441
45	0.150000	0.922078
46	0.150000	0.871497
47	0.150000	0.906463
48	0.150000	0.861751
49	0.150000	0.861751
50	0.150000	0.861751
51	0.150000	0.886441
52	0.150000	0.925980
53	0.150000	0.887006
54	0.150000	0.904314
55	0.150000	0.916883
56	0.150000	0.861751
57	0.150000	0.871497
58	0.150000	0.875511
59	0.150000	0.903846
60	0.150000	0.861751
61	0.150000	0.884752
62	0.150000	0.905388
63	0.150000	0.931765
64	0.150000	0.992600

1	0.160000	0.975948
2	0.160000	0.968085
3	0.160000	0.857769
4	0.160000	0.893902
5	0.160000	0.851412
6	0.160000	0.928018
7	0.160000	0.942685
8	0.160000	0.846448
9	0.160000	0.949260
10	0.160000	0.870251
11	0.160000	0.882206
12	0.160000	0.873174
13	0.160000	0.885918
14	0.160000	0.870538
15	0.160000	0.845902
16	0.160000	0.835125
17	0.160000	0.857923
18	0.160000	0.900070
19	0.160000	0.885662
20	0.160000	0.876078
21	0.160000	0.925227
22	0.160000	0.854645
23	0.160000	0.859563
24	0.160000	0.874687
25	0.160000	0.845902
26	0.160000	0.982828
27	0.160000	0.868623
28	0.160000	0.938776
29	0.160000	0.920000
30	0.160000	0.982828
31	0.160000	0.898955
32	0.160000	0.923077
33	0.160000	0.892178
34	0.160000	0.835125
35	0.160000	0.943673
36	0.160000	0.966312
37	0.160000	0.892857
38	0.160000	0.914980
39	0.160000	0.872340
40	0.160000	0.892256
41	0.160000	0.921733
42	0.160000	0.835125
43	0.160000	0.964563
44	0.160000	0.870251
45	0.160000	0.900649
46	0.160000	0.859563
47	0.160000	0.886869
48	0.160000	0.867914
49	0.160000	0.845056
50	0.160000	0.835125
51	0.160000	0.864407
52	0.160000	0.919184
53	0.160000	0.879699
54	0.160000	0.879184
55	0.160000	0.894156
56	0.160000	0.835125
57	0.160000	0.845056
58	0.160000	0.862674
59	0.160000	0.882883
60	0.160000	0.836066
61	0.160000	0.877076
62	0.160000	0.904962
63	0.160000	0.916667
64	0.160000	0.983087

1	0.170000	0.967150
2	0.170000	0.953901
3	0.170000	0.828571
4	0.170000	0.873400
5	0.170000	0.844612
6	0.170000	0.908537
7	0.170000	0.929412
8	0.170000	0.815301
9	0.170000	0.944872
10	0.170000	0.850575
11	0.170000	0.854010
12	0.170000	0.855844
13	0.170000	0.862903
14	0.170000	0.872117
15	0.170000	0.832707
16	0.170000	0.808038
17	0.170000	0.841029
18	0.170000	0.882353
19	0.170000	0.869048
20	0.170000	0.848309
21	0.170000	0.910740
22	0.170000	0.821311
23	0.170000	0.845704
24	0.170000	0.847403
25	0.170000	0.823729
26	0.170000	0.975637
27	0.170000	0.853878
28	0.170000	0.942995
29	0.170000	0.904718
30	0.170000	0.968687
31	0.170000	0.876190
32	0.170000	0.904615
33	0.170000	0.859466
34	0.170000	0.802867
35	0.170000	0.938776
36	0.170000	0.956522
37	0.170000	0.875974
38	0.170000	0.900840
39	0.170000	0.847780
40	0.170000	0.889695
